title,description,lat,lng,marker-size,marker-color,stroke,stroke-width
彩,中華 ,35.685663,139.60822,large,#FF0000,#FFFFFF,2
fūro,ワイン ,35.685574,139.608216,large,#FF0000,#FFFFFF,2
